https://www.youtube.com/watch?v=rnFdQ4TId64,Deva Hit Songs | Shokkadikuthu Song | ஆசை | Ajith Kumar | Suvalakshmi | Vasanth | Music Master,Deva_Hit_Songs_|_Shokkadikuthu_Song_|_ஆசை_|_Ajith_Kumar_|_Suvalakshmi_|_Vasanth_|_Music_Master.m4a
https://www.youtube.com/watch?v=9nvpGqS9BH8,Diggajaru Kuchiku Kuchiku song,Diggajaru_Kuchiku_Kuchiku_song.m4a
https://www.youtube.com/watch?v=wyHIvAIi3fY,Ee Bhoomi Bannada Buguri - Maha Kshathriya - ಮಹಾಕ್ಷತ್ರಿಯ - Kannada Video Songs,Ee_Bhoomi_Bannada_Buguri_-_Maha_Kshathriya_-_ಮಹಾಕ್ಷತ್ರಿಯ_-_Kannada_Video_Songs.m4a
https://www.youtube.com/watch?v=wyHIvAIi3fY,Ee Bhoomi Bannada Buguri - Maha Kshathriya - ಮಹಾಕ್ಷತ್ರಿಯ - Kannada Video Songs,Ee_Bhoomi_Bannada_Buguri_-_Maha_Kshathriya_-_ಮಹಾಕ್ಷತ್ರಿಯ_-_Kannada_Video_Songs.m4a
https://www.youtube.com/watch?v=wyHIvAIi3fY,Ee Bhoomi Bannada Buguri - Maha Kshathriya - ಮಹಾಕ್ಷತ್ರಿಯ - Kannada Video Songs,Ee_Bhoomi_Bannada_Buguri_-_Maha_Kshathriya_-_ಮಹಾಕ್ಷತ್ರಿಯ_-_Kannada_Video_Songs.m4a
https://www.youtube.com/watch?v=0rQaQ2m5kUQ,EE HRUDAYA HADIDE,EE_HRUDAYA_HADIDE.m4a
https://www.youtube.com/watch?v=x53bLddbojk,Ee Kannada Mannanu Maribeda O Abhimani - Kannada Rajyotsava Song - Ambarish - Solillada Saradara,Ee_Kannada_Mannanu_Maribeda_O_Abhimani_-_Kannada_Rajyotsava_Song_-_Ambarish_-_Solillada_Saradara.m4a
https://www.youtube.com/watch?v=UorUj8LNru8,"Ee Sundara Video Song I Amruthavarshini I S.P. Balasubrahmanyam, Chitra","Ee_Sundara_Video_Song_I_Amruthavarshini_I_S.P._Balasubrahmanyam,_Chitra.m4a"
https://www.youtube.com/watch?v=mes3BQIKbuo,ELLIRUVE MANAVA KAADUVA | Bayalu Daari | DR.S.P.Balasubrahmanyam | 56th Bengaluru Ganesh Utsava 2018,ELLIRUVE_MANAVA_KAADUVA_|_Bayalu_Daari_|_DR.S.P.Balasubrahmanyam_|_56th_Bengaluru_Ganesh_Utsava_2018.m4a
https://www.youtube.com/watch?v=XoFczLkq0VA,En Veetu Thotathil..| S.P.B & Sujatha | Gentlemen | A.R.Rahman,En_Veetu_Thotathil..|_S.P.B_&_Sujatha_|_Gentlemen_|_A.R.Rahman.m4a
https://www.youtube.com/watch?v=vvfW92cmAbs,"Ennavale Adi Ennavale Full Song || Kaadhalan || Prabhu Deva, Nagma, A.R Rahman Tamil Songs","Ennavale_Adi_Ennavale_Full_Song_||_Kaadhalan_||_Prabhu_Deva,_Nagma,_A.R_Rahman_Tamil_Songs.m4a"
https://www.youtube.com/watch?v=T3bYDUYHPtg,Erani Kuradhani,Erani_Kuradhani.m4a
https://www.youtube.com/watch?v=HhMOfmilpdY,EVRY India - Fiesta'16 - Nodamma Hudugi Performance,EVRY_India_-_Fiesta'16_-_Nodamma_Hudugi_Performance.m4a
https://www.youtube.com/watch?v=-FbDvI-Efdc,Geleyare Nanna Gelathiyare video song from prema loka kannada movie,Geleyare_Nanna_Gelathiyare_video_song_from_prema_loka_kannada_movie.m4a
https://www.youtube.com/watch?v=uyI_aKulc_Y,"HAALALLADARU HAAKU VIDEO SONG | DEVATHA MANUSHYA | DR.RAJKUMAR, GEETHA","HAALALLADARU_HAAKU_VIDEO_SONG_|_DEVATHA_MANUSHYA_|_DR.RAJKUMAR,_GEETHA.m4a"
https://www.youtube.com/watch?v=2-hWiBxhJ7I,Haavina Dwesha Hanneradu Varusha - HD Video Song - Nagarahavu - Vishnuvardhan - SP Balasubrahmanyam,Haavina_Dwesha_Hanneradu_Varusha_-_HD_Video_Song_-_Nagarahavu_-_Vishnuvardhan_-_SP_Balasubrahmanyam.m4a
https://www.youtube.com/watch?v=ZVTHr-35Dn8,Halu Jenu (Haalu Jenu) with English subtitles| Dr. Rajkumar| 1982 Kannada movie,Halu_Jenu_(Haalu_Jenu)_with_English_subtitles|_Dr._Rajkumar|_1982_Kannada_movie.m4a
https://www.youtube.com/watch?v=nzIXiYoNO3E,Hey Hrudaya,Hey_Hrudaya.m4a
https://www.youtube.com/watch?v=yM7cS7_iO8w,Hey Nanagagiye Nin Andavu - HD Video Song - Sahodarara Saval | Vishnuvardhan | SP Balasubrahmanyam,Hey_Nanagagiye_Nin_Andavu_-_HD_Video_Song_-_Sahodarara_Saval_|_Vishnuvardhan_|_SP_Balasubrahmanyam.m4a
https://www.youtube.com/watch?v=abXhEOZ0fr8,Hits of S. Janaki | Achaaravilladha Naalige | Eako Na Manasothenu | Thayi Thande Ibbaru,Hits_of_S._Janaki_|_Achaaravilladha_Naalige_|_Eako_Na_Manasothenu_|_Thayi_Thande_Ibbaru.m4a
https://www.youtube.com/watch?v=-9T6VKuvIvw,Hosa Belaku | ಹೊಸ ಬೆಳಕು | Kannada Full Movie | Dr Rajkumar | Saritha | Family Movie,Hosa_Belaku_|_ಹೊಸ_ಬೆಳಕು_|_Kannada_Full_Movie_|_Dr_Rajkumar_|_Saritha_|_Family_Movie.m4a
